index,time,delta_freq,event,power,f0
3585,71.7,-0.167727,1,315,50
3600,72,-0.171111,1,315,50
3615,72.3,-0.173296,1,315,50
3630,72.6,-0.173171,1,315,50
3645,72.9,-0.175692,1,315,50
3660,73.2,-0.177771,1,315,50
3675,73.5,-0.177232,0,315,50
3690,73.8,-0.181029,0,315,50
3705,74.1,-0.181328,0,315,50
3720,74.4,-0.183218,0,315,50
3735,74.7,-0.1845,0,315,50
3750,75,-0.186063,0,315,50
3765,75.3,-0.187249,0,315,50
3780,75.6,-0.188346,0,315,50
3795,75.9,-0.189696,0,315,50
3810,76.2,-0.191901,0,315,50
3825,76.5,-0.191937,0,315,50
3840,76.8,-0.19182,0,315,50
3855,77.1,-0.192055,0,315,50
3870,77.4,-0.191024,0,315,50
3885,77.7,-0.191661,0,315,50
3900,78,-0.188703,0,315,50
3915,78.3,-0.187365,0,315,50
3930,78.6,-0.185143,0,315,50
3945,78.9,-0.182612,0,315,50
3960,79.2,-0.180903,0,315,50
3975,79.5,-0.179536,0,315,50
3990,79.8,-0.177698,0,315,50
4005,80.1,-0.176033,0,315,50
4020,80.4,-0.174099,0,315,50
4035,80.7,-0.174524,0,315,50
4050,81,-0.17337,0,315,50
4065,81.3,-0.172185,0,315,50
4080,81.6,-0.168917,0,315,50
4095,81.9,-0.165539,0,315,50
4110,82.2,-0.164484,0,315,50
4125,82.5,-0.162807,0,315,50
4140,82.8,-0.161172,0,315,50
4155,83.1,-0.159638,0,315,50
4170,83.4,-0.159168,0,315,50
4185,83.7,-0.158937,0,315,50
4200,84,-0.158358,0,315,50
4215,84.3,-0.156193,0,315,50
4230,84.6,-0.153888,0,315,50
4245,84.9,-0.152096,0,315,50
4260,85.2,-0.152932,0,315,50
4275,85.5,-0.152393,0,315,50
4290,85.8,-0.150238,0,315,50
4305,86.1,-0.150635,0,315,50
4320,86.4,-0.151849,0,315,50
4335,86.7,-0.153814,0,315,50
4350,87,-0.154241,0,315,50
4365,87.3,-0.15628,0,315,50
4380,87.6,-0.158323,0,315,50
4395,87.9,-0.159047,0,315,50
4410,88.2,-0.160488,0,315,50
4425,88.5,-0.162895,0,315,50
4440,88.8,-0.161282,0,315,50
4455,89.1,-0.163434,0,315,50
4470,89.4,-0.164067,0,315,50
4485,89.7,-0.166311,0,315,50
4500,90,-0.165664,0,315,50
4515,90.3,-0.168363,0,315,50
4530,90.6,-0.169775,0,315,50
4545,90.9,-0.171009,0,315,50
4560,91.2,-0.173089,0,315,50
4575,91.5,-0.172362,0,315,50
4590,91.8,-0.17365,0,315,50
4605,92.1,-0.175464,0,315,50
4620,92.4,-0.176682,0,315,50
4635,92.7,-0.179521,0,315,50
4650,93,-0.181943,0,315,50
4665,93.3,-0.184163,0,315,50
4680,93.6,-0.187586,0,315,50
4695,93.9,-0.187863,0,315,50
4710,94.2,-0.190429,0,315,50
4725,94.5,-0.191281,0,315,50
4740,94.8,-0.193352,0,315,50
4755,95.1,-0.194749,0,315,50
4770,95.4,-0.194465,0,315,50
4785,95.7,-0.196478,0,315,50
4800,96,-0.195098,0,315,50
4815,96.3,-0.196462,0,315,50
4830,96.6,-0.197072,0,315,50
4845,96.9,-0.196532,0,315,50
4860,97.2,-0.196199,0,315,50
4875,97.5,-0.195912,0,315,50
4890,97.8,-0.19558,0,315,50
4905,98.1,-0.195972,0,315,50
4920,98.4,-0.193235,0,315,50
4935,98.7,-0.192744,0,315,50
4950,99,-0.190909,0,315,50
4965,99.3,-0.189828,0,315,50
4980,99.6,-0.189864,0,315,50
4995,99.9,-0.187588,0,315,50
5010,100.2,-0.185459,0,315,50
5025,100.5,-0.185068,0,315,50
5040,100.8,-0.183546,0,315,50
5055,101.1,-0.181718,0,315,50
5070,101.4,-0.179189,0,315,50
5085,101.7,-0.180355,0,315,50
5100,102,-0.180168,0,315,50
5115,102.3,-0.174781,0,315,50
5130,102.6,-0.172421,0,315,50
5145,102.9,-0.169057,0,315,50
5160,103.2,-0.16643,0,315,50
5175,103.5,-0.164071,0,315,50
5190,103.8,-0.160137,0,315,50
5205,104.1,-0.156831,0,315,50
5220,104.4,-0.15533,0,315,50
5235,104.7,-0.153513,0,315,50
5250,105,-0.151654,0,315,50
5265,105.3,-0.148136,0,315,50
5280,105.6,-0.147333,0,315,50
5295,105.9,-0.145208,0,315,50
