Frecuencia Original [Hz],Frecuencia Polinomio [Hz],Frecuencia Metaheuristica [Hz]
1800,49.88956766295718,49.82598032822025
1800,49.88778339719647,49.82387441676038
1800,49.886002912188104,49.821788200665566
1800,49.88422628097016,49.8197215310124
1800,49.882453575665345,49.817674259924715
1800,49.88068486748646,49.8156462405664
1800,49.87892022674192,49.813637327134316
1800,49.87715972284118,49.81164737485124
1800,49.875403424300174,49.80967623995886
1800,49.87365139874676,49.80772377971084
1800,49.87190371292609,49.80578985236589
1800,49.87016043270604,49.80387431718091
1800,49.86842162308251,49.801977034404175
1800,49.866687348184854,49.80009786526857
1800,49.86495767128115,49.79823667198485
1800,49.86323265478352,49.79639331773499
1800,49.86151236025346,49.794567666665515
1800,49.859796848407065,49.79275958388093
1800,49.858086179120335,49.79096893543719
1800,49.85638041143437,49.789195588335176
1800,49.85467960356064,49.78743941051423
1800,49.85298381288615,49.78570027084577
1800,49.85129309597863,49.78397803912691
1800,49.84960750859174,49.782272586074114
1800,49.847927105670166,49.78058378331694
1800,49.846251941354794,49.778911503391775
1800,49.844582068987805,49.77725561973564
1800,49.84291754111778,49.77561600668005
1800,49.84125840950477,49.77399253944486
1800,49.83960472512537,49.77238509413223
1800,49.83795653817776,49.770793547720565
1800,49.83631389808671,49.76921777805851
1800,49.83467685350861,49.76765766385903
1800,49.83304545233647,49.76611308469349
1800,49.83141974170486,49.764583920985736
1800,49.8297997679949,49.76307005400632
1800,49.828185576839154,49.76157136586668
1800,49.8265772131266,49.76008773951337
1800,49.824974721007514,49.75861905872237
1800,49.82337814389833,49.75716520809338
1800,49.82178752448655,49.75572607304423
1800,49.82020290473557,49.7543015398052
1800,49.81862432588949,49.75289149541351
1800,49.817051828478,49.7514958277078
1800,49.815485452321106,49.75011442532261
1800,49.81392523653395,49.74874717768292
1800,49.812371219531556,49.74739397499879
1800,49.81082343903359,49.746054708259926
1800,49.809281932069084,49.74472926923035
1800,49.80774673498115,49.743417550443105
1800,49.80621788343167,49.74211944519498
1800,49.80469541240598,49.740834847541265
1800,49.803179356217505,49.73956365229056
1800,49.80166974851246,49.738305754999615
1800,49.800166622274425,49.73706105196819
1800,49.79867000982897,49.73582944023396
1800,49.79717994284824,49.73461081756744
1800,49.79569645235555,49.733405082467
1800,49.79421956872994,49.73221213415384
1800,49.79274932171071,49.731031872567016
1800,49.79128574040191,49.729864198358555
1800,49.78982885327693,49.72870901288854
1800,49.78837868818292,49.72756621822023
1800,49.786935272345275,49.72643571711529
1800,49.78549863237213,49.72531741302892
1800,49.78406879425877,49.72421121010517
1800,49.782645783392056,49.72311701317216
1800,49.78122962455483,49.722034727737395
1800,49.77982034193033,49.720964259983106
1800,49.778417959106534,49.7199055167616
1800,49.77702249908053,49.71885840559069
1800,49.77563398426287,49.71782283464906
1800,49.77425243648185,49.71679871277181
1800,49.7728778769879,49.715785949445866
1800,49.771510326457765,49.71478445480554
1800,49.770149804998894,49.71379413962808
1800,49.76879633215361,49.712814915329226
1800,49.767449926903396,49.711846693958854
1800,49.7661106076731,49.71088938819659
1800,49.76477839233518,49.70994291134749
1800,49.76345329821385,49.70900717733773
1800,49.762135342089266,49.70808210071036
1800,49.76082454020174,49.70716759662099
1800,49.75952090825581,49.706263580833685
1800,49.7582244614244,49.70536996971667
1800,49.75693521435294,49.704486680238254
1800,49.75565318116346,49.70361362996264
1800,49.75437837545866,49.70275073704586
1800,49.75311081032595,49.70189792023169
1800,49.75185049834157,49.70105509884759
1800,49.75059745157453,49.700222192800716
1800,49.74935168159069,49.699399122573894
1800,49.74811319945673,49.69858580922166
1800,49.74688201574416,49.69778217436635
1800,49.745658140533244,49.696988140194165
1800,49.744441583416986,49.69620362945126
1800,49.74323235350505,49.695428565439954
1800,49.742030459427696,49.69466287201483
1800,49.74083590933965,49.693906473578956
1800,49.73964871092404,49.69315929508011
1800,49.738468871396215,49.692421262007
1800,49.73729639750764,49.691692300385576
1800,49.73613129554974,49.69097233677527
