Frecuencia Original [Hz],Frecuencia Polinomio [Hz],Frecuencia Metaheuristica [Hz]
2200,49.77527299740409,49.75942478841967
2200,49.77468161530343,49.75908962141063
2200,49.77409555697394,49.75876004954824
2200,49.773514796183676,49.758435997227544
2200,49.77293930678091,49.75811738985213
2200,49.772369062693976,49.757804153820885
2200,49.77180403793111,49.757496216514845
2200,49.771244206580334,49.75719350628423
2200,49.7706895428093,49.75689595243564
2200,49.77014002086514,49.756603485219394
2200,49.76959561507434,49.75631603581707
2200,49.76905629984256,49.75603353632915
2200,49.768522049654564,49.75575591976286
2200,49.767992839074,49.75548312002015
2200,49.76746864274328,49.75521507188584
2200,49.76694943538348,49.75495171101587
2200,49.766435191794145,49.75469297392576
2200,49.76592588685316,49.75443879797922
2200,49.76542149551663,49.754189121376825
2200,49.76492199281871,49.75394388314494
2200,49.76442735387148,49.75370302312472
2200,49.7639375538648,49.753466481961276
2200,49.763452568066164,49.75323420109299
2200,49.76297237182057,49.753006122740935
2200,49.76249694055034,49.75278218989849
2200,49.76202624975506,49.75256234632103
2200,49.76156027501135,49.75234653651579
2200,49.76109899197276,49.75213470573185
2200,49.76064237636965,49.75192679995023
2200,49.76019040400902,49.751722765874206
2200,49.759743050774375,49.751522550919574
2200,49.75930029262559,49.751326103205244
2200,49.758862105598766,49.75113337154384
2200,49.7584284658061,49.75094430543241
2200,49.757999349435714,49.75075885504337
2200,49.75757473275157,49.75057697121542
2200,49.757154592093265,49.75039860544473
2200,49.756738903875934,49.750223709876096
2200,49.756327644590115,49.75005223729434
2200,49.75592079080157,49.74988414111575
2200,49.75551831915117,49.74971937537965
2200,49.75512020635479,49.74955789474007
2200,49.75472642920308,49.7493996544576
2200,49.754336964561425,49.7492446103912
2200,49.75395178936974,49.7490927189903
2200,49.75357088064234,49.74894393728687
2200,49.753194215467865,49.74879822288764
2200,49.752821771009025,49.74865553396646
2200,49.75245352450257,49.74851582925669
2200,49.75208945325909,49.74837906804373
2200,49.7517295346629,49.7482452101577
2200,49.75137374617189,49.74811421596607
2200,49.75102206531741,49.74798604636659
2200,49.75067446970409,49.74786066278013
2200,49.750330937009736,49.747738027143726
2200,49.749991444985206,49.74761810190367
2200,49.74965597145422,49.74750085000872
2200,49.74932449431326,49.74738623490339
2200,49.748996991531435,49.74727422052131
2200,49.74867344115033,49.74716477127872
2200,49.748353821283864,49.74705785206797
2200,49.74803811011817,49.74695342825123
2200,49.74772628591145,49.74685146565416
2200,49.74741832699383,49.74675193055974
2200,49.74711421176724,49.74665478970215
2200,49.746813918705264,49.746560010260744
